w 5 0 4
w 5 1 3
w 5 2 2
w 5 3 1
r 5 0 1
r 5 1 2
r 5 2 3
r 5 3 4

w 0 0 0 
w 0 1 0
w 0 2 0
w 0 3 0
w 1 0 0
w 1 1 0
w 1 2 0
w 1 3 0
w 2 0 0
w 2 1 0
w 2 2 0
w 2 3 0
w 3 0 0
w 3 1 0
w 3 2 0
w 3 3 0
w 4 0 0
w 4 1 0
w 4 2 0
w 4 3 0
w 5 0 0
w 5 1 0
w 5 2 0
w 5 3 0
w 6 0 0
w 6 1 0
w 6 2 0
w 6 3 0

r 0 0 0
r 0 1 0
r 0 2 0
r 0 3 0
r 1 0 0
r 1 1 0
r 1 2 0
r 1 3 0
r 2 0 0
r 2 1 0
r 2 2 0
r 2 3 0
r 3 0 0
r 3 1 0
r 3 2 0
r 3 3 0
r 4 0 0
r 4 1 0
r 4 2 0
r 4 3 0
r 5 0 0
r 5 1 0
r 5 2 0
r 5 3 0
r 6 0 0
r 6 1 0
r 6 2 0
r 6 3 0

w 0 0 1
w 0 0 2
w 0 0 3

r 0 0 0



